ATT,DJIA,GM,IBM,INT1M,ratt,rdj,rgm,ribm,pratt,prdj,prgm,pribm
28.79,4793.78,36.16,23.12,5.15,-0.0234057,0.00606521,-0.01310044,-0.0055914,-0.02354875,0.00606586,-0.01310061,-0.00559103
28.44,4784.38,36.45,23.5,5.2,-0.012157,-0.00196087,0.00801991,0.01643599,-0.01230144,-0.00196054,0.00801997,0.01643576
29.08,4795.94,36.55,24.22,5.16,0.02250352,0.0024162,0.00274348,0.0306383,0.02236018,0.00241557,0.00274342,0.03063822
28.91,4777.52,36.55,24.09,5.16,-0.00584594,-0.00384075,0,-0.00536747,-0.00598928,-0.00384059,0.00000011,-0.00536747
28.85,4802.45,36.35,24.56,5.15,-0.00207541,0.00521819,-0.00547196,0.01951017,-0.00221846,0.00521825,-0.0054721,0.01951032
28.27,4794.86,35.38,23.84,5.15,-0.02010399,-0.00158044,-0.02668501,-0.02931596,-0.02024704,-0.00157989,-0.02668496,-0.02931522
28.27,4755.48,34.6,24.75,5.15,0,-0.00821296,-0.02204635,0.03817114,-0.00014306,-0.00821296,-0.02204613,0.03817175
28.21,4783.66,34.99,24.5,5.15,-0.00212239,0.0059258,0.01127168,-0.01010101,-0.00226545,0.00592585,0.01127151,-0.01010132
28.04,4753.68,35.57,24.03,5.15,-0.00602623,-0.00626717,0.01657617,-0.01918367,-0.00616929,-0.006267,0.01657634,-0.01918413
28.27,4703.82,34.4,23.97,5.15,0.00820257,-0.01048872,-0.03289289,-0.00249688,0.00805951,-0.01048894,-0.0328926,-0.00249597
28.68,4741.75,34.99,24.12,5.15,0.01450301,0.00806366,0.01715116,0.00625782,0.01435995,0.00806326,0.01715094,0.00625735
28.96,4756.57,35.28,24.56,5.14,0.0097629,0.00312543,0.00828808,0.01824212,0.00962012,0.00312516,0.008288,0.01824189
29.54,4755.48,36.55,24.31,5.13,0.02002762,-0.00022916,0.03599773,-0.01017915,0.01988512,-0.00022971,0.03599774,-0.01018015
29.37,4766.68,36.06,24.22,5.14,-0.00575491,0.00235518,-0.01340629,-0.00370218,-0.00589769,0.00235534,-0.01340636,-0.00370181
29.31,4808.59,36.25,24.91,5.14,-0.0020429,0.00879228,0.005269,0.02848885,-0.00218568,0.00879234,0.00526875,0.02848871
29.43,4825.57,36.25,25.37,5.13,0.00409417,0.00353118,0,0.01846648,0.00395167,0.00353107,-0.0000001,0.01846648
29.43,4814.01,35.38,25.12,4.96,0,-0.00239557,-0.024,-0.00985416,-0.00013778,-0.00239557,-0.02399993,-0.00985349
29.25,4797.03,35.08,24.69,4.96,-0.00611621,-0.00352721,-0.00847937,-0.01711783,-0.00625399,-0.00352704,-0.00847927,-0.0171176
29.31,4852.67,35.08,24.44,4.96,0.00205128,0.01159884,0,-0.01012556,0.0019135,0.01159879,-0.00000032,-0.01012556
29.08,4864.23,34.69,24.59,5.12,-0.00784715,0.00238219,-0.01111745,0.00613748,-0.00798937,0.00238241,-0.01111751,0.00613779
29.08,4870.37,34.79,24.34,5.12,0,0.00126228,0.00288268,-0.01016673,-0.00014222,0.00126228,0.00288264,-0.01016682
29.19,4872.9,34.4,24.34,5.12,0.00378267,0.00051947,-0.01121012,0,0.00364045,0.00051936,-0.01121013,0.00000031
29.19,4871.81,34.11,23.84,5.12,0,-0.00022369,-0.00843023,-0.02054232,-0.00014222,-0.00022369,-0.00843023,-0.02054208
29.77,4922.75,34.3,23.87,5.11,0.01986982,0.01045607,0.00557021,0.00125839,0.01972787,0.01045552,0.00556992,0.00125824
29.89,4969.36,34.4,23.91,5.11,0.0040309,0.00946829,0.00291545,0.00167574,0.00388896,0.00946817,0.00291519,0.00167566
30.18,4989.95,34.11,23.78,5.11,0.00970224,0.00414339,-0.00843023,-0.00543706,0.0095603,0.00414312,-0.00843035,-0.00543682
30.12,4983.09,33.82,23.25,5.11,-0.00198807,-0.00137476,-0.00850191,-0.02228764,-0.00213002,-0.00137471,-0.00850187,-0.0222874
29.71,5023.55,34.5,23.62,5.11,-0.01361222,0.00811946,0.02010645,0.01591398,-0.01375416,0.00811984,0.02010622,0.01591342
29.89,5041.61,34.21,23.81,5.12,0.00605857,0.00359507,-0.0084058,0.00804403,0.00591634,0.0035949,-0.0084059,0.00804426
29.89,5041.61,34.99,23.81,5.12,0,0,0.02280035,0,-0.00014222,0,0.02280035,-0.00000063
30,5048.84,35.57,23.97,5.12,0.00368016,0.00143407,0.01657617,0.00671987,0.00353794,0.00143396,0.01657613,0.00671941
30.29,5070.88,34.99,23.97,5.14,0.00966667,0.00436536,-0.01630588,0,0.00952389,0.00436509,-0.016306,0.00000045
30.93,5078.1,35.67,24.25,5.15,0.02112909,0.00142382,0.01943412,0.01168127,0.02098603,0.00142323,0.01943408,0.01168073
30.87,5105.56,35.57,24.28,5.13,-0.00193986,0.00540753,-0.00280348,0.00123711,-0.00208236,0.00540759,-0.00280363,0.00123719
30.41,5074.49,35.08,24.16,5.13,-0.0149012,-0.00608552,-0.01377565,-0.00494234,-0.0150437,-0.00608511,-0.01377549,-0.00494196
30.81,5087.13,35.28,23.69,5.13,0.01315357,0.00249089,0.00570125,-0.01945364,0.01301107,0.00249053,0.00570119,-0.0194538
30.98,5139.52,36.35,24.03,5.13,0.00551769,0.01029854,0.0303288,0.01435205,0.00537519,0.01029838,0.03032851,0.01435121
30.98,5177.45,35.96,23.94,5.13,0,0.00738007,-0.01072902,-0.00374532,-0.0001425,0.00738007,-0.01072923,-0.00374502
30.23,5199.13,36.55,23.94,5.13,-0.02420917,0.00418739,0.01640712,0,-0.02435167,0.00418806,0.016407,-0.00000046
30.41,5159.39,37.13,23.69,5.11,0.00595435,-0.00764359,0.01586867,-0.01044277,0.00581241,-0.00764375,0.01586889,-0.01044321
30.03,5156.86,38.2,24.22,5.11,-0.01249589,-0.00049037,0.02881767,0.02237231,-0.01263783,-0.00049002,0.02881768,0.02237151
30.12,5184.32,38.98,24.06,5.12,0.002997,0.00532495,0.02041885,-0.00660611,0.00285478,0.00532486,0.0204187,-0.00660668
30.58,5174.92,38.98,23.84,5.11,0.01527224,-0.00181316,0,-0.00914381,0.0151303,-0.00181358,0.00000005,-0.00914381
31.44,5216.47,38.69,23.62,5.12,0.02812296,0.00802911,-0.00743971,-0.00922819,0.02798073,0.00802833,-0.00743994,-0.00922798
30.81,5182.15,38.2,23.44,5.12,-0.02003817,-0.00657916,-0.01266477,-0.00762066,-0.02018039,-0.00657861,-0.01266459,-0.00762031
31.39,5176.73,37.72,22.56,5.12,0.01882506,-0.0010459,-0.01256545,-0.03754266,0.01868284,-0.00104642,-0.01256542,-0.03754231
30.35,5075.21,38.3,22.25,5.12,-0.03313157,-0.01961084,0.01537646,-0.01374114,-0.03327379,-0.01960992,0.015377,-0.01374156
30.46,5109.89,37.81,22.97,5.11,0.00362438,0.00683322,-0.01279373,0.03235955,0.00348244,0.00683311,-0.01279392,0.03235991
30.06,5059.32,38.5,22.34,5.02,-0.01313198,-0.0098965,0.01824914,-0.02742708,-0.01327142,-0.00989613,0.01824942,-0.02742759
29.71,5096.53,39.96,22.72,5.01,-0.01164338,0.00735474,0.03792208,0.01700985,-0.01178255,0.00735507,0.03792187,0.01700879
30.46,5097.97,39.66,22.81,5.01,0.02524403,0.00028255,-0.00750751,0.00396127,0.02510486,0.00028184,-0.00750752,0.00396148
30.46,5097.97,39.66,22.81,5.01,0,0,0,0,-0.00013917,0,0,0
29.83,5110.26,38.4,22.94,5.03,-0.02068286,0.00241076,-0.03177005,0.00569926,-0.02082259,0.00241134,-0.03177011,0.00570014
29.94,5105.92,38.4,23,5,0.00368756,-0.00084927,0,0.00261552,0.00354867,-0.00084937,0.00000002,0.00261552
29.83,5095.8,38.89,22.53,5.01,-0.00367402,-0.00198201,0.01276042,-0.02043478,-0.00381318,-0.00198191,0.01276047,-0.02043514
