Date,Cie,Ibez,Enagas,Santander,interes
19/10/2020,17.049999,6860.200195,20.1,1.584892,0.1200
20/10/2020,17.02,6927.299805,20.1,1.628783,0.1450
21/10/2020,17.200001,6811.5,20.1,1.599075,0.1650
22/10/2020,17.370001,6796.600098,20.1,1.617092,0.1830
23/10/2020,17.530001,6893.399902,20.1,1.671333,0.1700
26/10/2020,17.469999,6796.899902,20.1,1.651017,0.1590
27/10/2020,16.389999,6651.299805,20.1,1.626867,0.1620
28/10/2020,15.93,6474.399902,20.1,1.575308,0.1480
29/10/2020,16.440001,6411.799805,20.1,1.591408,0.1710
30/10/2020,16.799999,6452.200195,18.004999,1.639517,0.1450
02/11/2020,16.780001,6585.600098,18.530001,1.708325,0.1380
03/11/2020,17.219999,6751.600098,18.709999,1.774642,0.1160
04/11/2020,17.059999,6781.899902,18.75,1.702,0.1120
05/11/2020,17.129999,6924.200195,18.969999,1.754325,0.0740
06/11/2020,16.860001,6870.399902,18.525,1.712542,0.0800
09/11/2020,18.540001,7459.399902,18.9,2.041729,0.0950
10/11/2020,18.6,7711.399902,19.745001,2.217104,0.1430
11/11/2020,19.200001,7793.700195,19.59,2.250646,0.1730
12/11/2020,19.24,7726,19.405001,2.221417,0.1540
13/11/2020,19.190001,7783.700195,19.120001,2.286583,0.1340
16/11/2020,19.76,7986.200195,19.635,2.351,0.1000
17/11/2020,19.83,7934.299805,19.719999,2.368,0.0880
18/11/2020,20,7981.5,19.68,2.362,0.0810
19/11/2020,19.98,7930.200195,19.709999,2.3245,0.0720
20/11/2020,20.18,7977.899902,19.959999,2.3365,0.0690
23/11/2020,20.32,7981.200195,20.059999,2.3545,0.0630
24/11/2020,20.860001,8143.200195,20.110001,2.4835,0.0650
25/11/2020,20.92,8164.700195,20.27,2.4615,0.0650
26/11/2020,20.719999,8104.600098,20.4,2.4275,0.0550
27/11/2020,21.16,8190.700195,20.26,2.465,0.0490
30/11/2020,20.559999,8076.899902,20.370001,2.4175,0.0500
01/12/2020,20.74,8140.799805,20.280001,2.5585,0.0800
02/12/2020,20.82,8220.799805,19.67,2.68,0.1010
03/12/2020,20.879999,8200.700195,19.705,2.7075,0.0950
04/12/2020,20.58,8322.900391,19.555,2.862,0.0590
07/12/2020,20.52,8275.599609,19.535,2.726,0.0680
08/12/2020,20.32,8227.599609,19.865,2.7715,0.0440
09/12/2020,20.459999,8235.299805,20.030001,2.7255,0.0330
10/12/2020,20.26,8182.299805,19.91,2.648,0.0220
11/12/2020,19.91,8063.100098,20.18,2.575,0.0060
14/12/2020,20.48,8140.799805,20.049999,2.623,-0.0080
15/12/2020,20.799999,8152.399902,20.049999,2.7045,-0.0050
16/12/2020,20.879999,8139.5,20.059999,2.679,-0.0110
17/12/2020,21.379999,8153.399902,19.955,2.6885,0.0140
18/12/2020,21.440001,8037.399902,19.299999,2.5785,0.0120
21/12/2020,21.4,7789.799805,17.945,2.451,0.0470
22/12/2020,21.379999,7934.200195,17.875,2.531,0.0330
23/12/2020,21.66,8073.600098,17.700001,2.6195,0.0470
24/12/2020,21.6,8111.5,18.24,2.67,0.0820
28/12/2020,21.799999,8155.600098,18.299999,2.5905,0.0820
29/12/2020,22.139999,8174.799805,18.094999,2.5915,0.0810
30/12/2020,22.26,8154.399902,18.035,2.575,0.0420
31/12/2020,22.059999,8073.700195,17.799999,2.538,0.0490
04/01/2021,21.74,8099.200195,17.549999,2.5665,0.0370
05/01/2021,21.299999,8091.5,17.965,2.5755,0.0370
06/01/2021,21.540001,8350.299805,18.299999,2.7525,0.0350
07/01/2021,22.040001,8385.799805,17.934999,2.793,0.0130
08/01/2021,21.76,8407.700195,17.945,2.76,0.0270
11/01/2021,21.76,8357.5,18.639999,2.81,0.0480
12/01/2021,22.34,8345.900391,18.23,2.8495,0.0330
13/01/2021,21.98,8361.099609,18.24,2.832,0.0290
14/01/2021,22.219999,8372.400391,17.799999,2.801,0.0680
15/01/2021,21.440001,8230.700195,18.82,2.7205,0.0840
18/01/2021,21.959999,8254.5,18.334999,2.738,0.0860
19/01/2021,21.74,8199,18.02,2.684,0.0710
20/01/2021,22.16,8204.099609,17.805,2.6885,0.0810
21/01/2021,22,8122.100098,18.15,2.64,0.0980
22/01/2021,21.559999,8036.399902,18.309999,2.581,0.1090
25/01/2021,20.74,7897.299805,18.74,2.49,0.1050
26/01/2021,21.4,7964.899902,18.610001,2.5325,0.1330
27/01/2021,21,7852.700195,18.360001,2.4325,0.1590
28/01/2021,21.5,7932.5,18.155001,2.4815,0.1050
29/01/2021,21.719999,7757.5,18.23,2.415,0.0900
01/02/2021,21.92,7798.200195,18.1,2.417,0.0810
02/02/2021,22.200001,7950.899902,18.285,2.537,0.1100
03/02/2021,22.959999,8012.799805,18.014999,2.554,0.1310
04/02/2021,23.16,8122.600098,17.9,2.69,0.1390
05/02/2021,23.139999,8214.700195,17.610001,2.788,0.1240
08/02/2021,23.360001,8219,17.5,2.845,0.1530
09/02/2021,23.4,8101,17.455,2.832,0.1740
10/02/2021,23.18,8065.399902,17.200001,2.8375,0.1680
11/02/2021,23.440001,8037.600098,17.695,2.7965,0.1760
12/02/2021,23.58,8055,18.030001,2.795,0.1650
15/02/2021,23.4,8203.5,17.43,2.91,0.1730
16/02/2021,23.459999,8153.700195,17.125,2.9115,0.1390
17/02/2021,23.059999,8122.700195,17.25,2.8945,0.1880
18/02/2021,23.24,8058.100098,16.889999,2.8555,0.2310
19/02/2021,23.32,8151.600098,17.245001,2.9755,0.2520
22/02/2021,23.120001,8112.200195,17.74,2.8955,0.2480
23/02/2021,22.6,8252.099609,17.344999,2.9505,0.3040
24/02/2021,22.24,8269.599609,17.35,2.9625,0.3020
25/02/2021,22.559999,8317.799805,17.35,2.9655,0.3170
26/02/2021,22.76,8225,17.34,2.8975,0.3260
01/03/2021,22.58,8378.099609,17.280001,2.92,0.3780
02/03/2021,22.360001,8355.799805,17.139999,2.8925,0.4230
03/03/2021,22.559999,8329.299805,17.84,2.9445,0.3740
04/03/2021,22.459999,8354,17.325001,2.942,0.3040
05/03/2021,22.559999,8286.799805,17.41,2.98,0.3140
08/03/2021,23.1,8444.200195,17.535,3.0545,0.3440
09/03/2021,23.02,8496.400391,17.77,2.9735,0.3250
10/03/2021,23.280001,8525.200195,17.629999,2.9615,0.3570
11/03/2021,22.879999,8593,17.620001,2.9195,0.3420
12/03/2021,22.5,8644.5,17.815001,2.9735,0.3410
15/03/2021,22.34,8635.400391,17.775,2.931,0.3140
16/03/2021,22.700001,8657.700195,17.735001,2.9145,0.2800
17/03/2021,22.6,8599.5,17.495001,2.927,0.2810
18/03/2021,22.700001,8624.599609,17.77,2.986,0.2740
19/03/2021,22.719999,8493,17.959999,2.891,0.2860
22/03/2021,22.719999,8343.5,18.105,2.8425,0.3420
23/03/2021,22.26,8390.299805,18.27,2.86,0.3340
24/03/2021,21.379999,8443.700195,18.325001,2.8775,0.3290
25/03/2021,21.780001,8409.5,18.184999,2.8555,0.3190
26/03/2021,21.959999,8498.200195,18.465,2.896,0.2680
29/03/2021,22.18,8492.099609,18.23,2.864,0.2440
30/03/2021,22.74,8595.200195,18.4,2.9415,0.2600
31/03/2021,22.32,8580,18.555,2.897,0.2630
01/04/2021,22.639999,8577.599609,18.6,2.883,0.2870
06/04/2021,22.52,8634.599609,18.584999,2.9245,0.3390
07/04/2021,22.26,8597.400391,18.434999,2.95,0.3150
08/04/2021,22.379999,8637.799805,18.4,2.922,0.3150
09/04/2021,21.700001,8565.799805,18.309999,2.903,0.3150
12/04/2021,21.440001,8532.599609,18.4,2.9075,0.3030
13/04/2021,21.780001,8525.099609,18.24,2.88,0.3160
14/04/2021,21.6,8588.400391,18.315001,2.9085,0.3230
15/04/2021,21.84,8571.599609,18.48,2.8395,0.3190
16/04/2021,23.92,8613.5,18.01,2.874,0.3520
19/04/2021,23.440001,8711.400391,18.07,2.965,0.3660
20/04/2021,23.540001,8459.400391,18.33,2.8515,0.3760
21/04/2021,23.799999,8519.799805,18.174999,2.817,0.3730
22/04/2021,24.6,8656.799805,18,2.8455,0.3720
23/04/2021,24.58,8618.599609,18,2.847,0.3780
26/04/2021,23.780001,8701.900391,18,2.914,0.3960
27/04/2021,23.860001,8756.700195,18.01,3.06,0.3940
28/04/2021,23.799999,8799.599609,18,3.1425,0.3670
29/04/2021,23.6,8823.200195,18.075001,3.198,0.3700
30/04/2021,23.16,8815,18.389999,3.215,0.3730
03/05/2021,23.32,8893.700195,18.415001,3.197,0.3870
04/05/2021,22.5,8830.400391,18.530001,3.159,0.3900
05/05/2021,23.280001,8967.799805,18.780001,3.225,0.4230
06/05/2021,24.18,8982.200195,18.690001,3.2185,0.4520
07/05/2021,24.66,9059.200195,18.475,3.216,0.4580
10/05/2021,24.860001,9144.299805,18.549999,3.306,0.4590
11/05/2021,24.42,8987.200195,18.620001,3.25,0.4510
12/05/2021,23.98,9007.700195,18.825001,3.2875,0.4420
13/05/2021,23.799999,8966.200195,18.934999,3.264,0.4640
14/05/2021,24.440001,9145.599609,18.99,3.353,0.4720
17/05/2021,24.76,9155.599609,19,3.331,0.4950
18/05/2021,24.66,9183.900391,18.955,3.3705,0.5100
19/05/2021,24.360001,9070.700195,19.004999,3.2925,0.5490
20/05/2021,24.26,9124.299805,18.975,3.318,0.5860
21/05/2021,24.4,9204,19.235001,3.3695,0.5970
24/05/2021,24.66,9205.5,19.235001,3.3585,0.6100
25/05/2021,24.42,9208.700195,19.184999,3.3745,0.5860
26/05/2021,24.32,9196.900391,19.395,3.3545,0.6050
27/05/2021,24.459999,9186.099609,19.105,3.4475,0.5820
28/05/2021,24.559999,9224.599609,19.200001,3.4505,0.5630
31/05/2021,24.82,9148.900391,19.1,3.424,0.5360
01/06/2021,25.639999,9189.700195,19.385,3.478,0.4710
02/06/2021,25.5,9180.700195,19.735001,3.475,0.4610
03/06/2021,25.76,9142.400391,19.360001,3.506,0.4770
04/06/2021,25.799999,9088.299805,19.360001,3.4425,0.4740
07/06/2021,25.9,9163.599609,19.375,3.461,0.4720
08/06/2021,25.4,9153.599609,19.575001,3.3985,0.4620
09/06/2021,25.040001,9156.099609,19.73,3.381,0.4520
10/06/2021,24.940001,9133.799805,19.785,3.446,0.4600
11/06/2021,25.719999,9205,19.969999,3.4345,0.4420
14/06/2021,25.940001,9281.099609,19.75,3.4375,0.4490
15/06/2021,26,9230.700195,19.84,3.426,0.4400
16/06/2021,25.6,9202.200195,19.370001,3.364,0.4010
17/06/2021,25.059999,9195.900391,19.700001,3.362,0.3860
18/06/2021,24.66,9030.599609,19.940001,3.2885,0.3580
21/06/2021,25.02,9051.700195,19.43,3.28,0.3810
22/06/2021,25.26,9053.299805,19.6,3.2875,0.3960
23/06/2021,25.299999,8954.099609,19.530001,3.2755,0.4110
24/06/2021,25.24,9074.099609,19.540001,3.318,0.4340
25/06/2021,25.58,9095,19.41,3.3555,0.4520
28/06/2021,24.98,8913.700195,19.389999,3.2625,0.4540
29/06/2021,25.6,8915.099609,19.955,3.274,0.4860
30/06/2021,24.959999,8821.200195,19.84,3.2195,0.4960
01/07/2021,26.040001,8932.299805,19.004999,3.2895,0.4570
02/07/2021,25.74,8907.599609,18.475,3.2225,0.5390
05/07/2021,26.120001,8946.400391,18.4,3.2655,0.5020
06/07/2021,25.42,8860.799805,18.299999,3.162,0.4710
07/07/2021,25.5,8854.5,18.075001,3.145,0.4450
08/07/2021,25,8650.099609,18.344999,3.0575,0.4310
09/07/2021,25.540001,8776.599609,18.195,3.1295,0.4040
12/07/2021,25.58,8816.700195,18.105,3.139,0.4110
13/07/2021,25.559999,8694.799805,18.065001,3.0835,0.3890
14/07/2021,25.6,8658.299805,17.855,3.104,0.3630
15/07/2021,25.08,8527,18.195,3.121,0.3700
16/07/2021,24.58,8506.200195,18.51,3.038,0.4050
19/07/2021,24,8301.700195,18.575001,2.9345,0.3510
20/07/2021,24.379999,8358,18.549999,2.9545,0.3320
21/07/2021,24.719999,8567,18.68,3.07,0.3490
22/07/2021,24.52,8621.799805,18.91,3.0785,0.3600
23/07/2021,24.860001,8717.200195,19.01,3.126,0.3450
26/07/2021,25.08,8775.200195,19.334999,3.189,0.2740
27/07/2021,24.559999,8699.200195,19.200001,3.1555,0.2790
28/07/2021,24.98,8733.700195,19.225,3.0595,0.2910
29/07/2021,24.780001,8786.299805,19.264999,3.138,0.2540
30/07/2021,25.120001,8675.700195,19.49,3.0875,0.2750
02/08/2021,25.120001,8758.700195,19.459999,3.066,0.2570
03/08/2021,24.780001,8772.799805,19.559999,3.103,0.2600
04/08/2021,24.9,8792.900391,19.594999,3.1355,0.2240
05/08/2021,25.34,8836.5,19.48,3.15,0.2520
06/08/2021,25.299999,8879,19.469999,3.2265,0.2260
