any,superf,dorm,banys,vtot,estado,edad,ascensor,extint,estudis1,pmq,lpmq,lsuperf,ledad,lestudis1
1999,86,2,1,14100000,2,75,0,1,00 010,163953.4884,12.00733806,4.454347296,1.875061263,2.251291799
2000,110,3,2,34700000,5,0,1,1,00 010,315454.5455,12.66176988,4.700480366,0,2.251291799
2000,107,4,1,27700000,4,0,1,1,00 010,258878.5047,12.46411414,4.672828834,0,2.251291799
2000,129.78,3,2,43000000,4,0,1,1,00 010,331329.943,12.71086996,4.865840709,0,2.251291799
2000,59,2,1,11500000,3,30,0,1,00 010,194915.2542,12.18032015,4.077537444,1.477121255,2.251291799
2000,111.94,3,2,21300000,4,0,1,1,00 010,190280.5074,12.15625462,4.717963013,0,2.251291799
2000,81.66,2,1,28600000,4,0,1,1,00 010,350232.6721,12.76635299,4.402564286,0,2.251291799
2000,81.66,2,1,29000000,4,0,1,1,00 010,355131.0311,12.7802421,4.402564286,0,2.251291799
1999,100,3,2,34500000,5,0,1,1,00 012,345000,12.7512997,4.605170186,0,2.492047758
1999,233.36,5,3,73000000,3,25,1,1,00 012,312821.3918,12.65338767,5.452582326,1.397940009,2.492047758
1999,233.36,5,3,73000000,3,25,1,1,00 012,312821.3918,12.65338767,5.452582326,1.397940009,2.492047758
1999,141.81,5,3,43300000,3,25,1,1,00 012,305338.1285,12.62917506,4.954488133,1.397940009,2.492047758
1999,90,3,1,12800000,1,35,1,1,00 008,142222.2222,11.86514606,4.49980967,1.544068044,2.070804348
1999,62,2,1,11000000,3,20,0,1,00 008,177419.3548,12.08627145,4.127134385,1.301029996,2.070804348
1999,89,3,1,16300000,1,35,1,1,00 008,183146.0674,12.1180393,4.48863637,1.544068044,2.070804348
1999,69.85,3,1,14100000,2,35,0,1,00 008,201861.131,12.21533527,4.246350086,1.544068044,2.070804348
1999,69.83,3,1,11500000,2,28,0,1,00 008,164685.6652,12.01179388,4.246063717,1.447158031,2.070804348
1999,70.6,3,1,12700000,4,35,0,1,00 008,179886.6856,12.10008241,4.257030144,1.544068044,2.070804348
1999,96.85,3,1,16000000,3,35,1,1,00 008,165203.9236,12.01493589,4.57316339,1.544068044,2.070804348
1999,100,3,1,20500000,3,31,1,1,00 008,205000,12.23076526,4.605170186,1.491361694,2.070804348
1999,83.65,4,1,18400000,4,35,1,1,00 008,219964.1363,12.3012198,4.426641427,1.544068044,2.070804348
1999,85,3,1,16600000,3,25,1,1,00 008,195294.1176,12.182262,4.442651256,1.397940009,2.070804348
1999,100.6,3,1,19100000,2,36,1,1,00 008,189860.835,12.15404664,4.611152258,1.556302501,2.070804348
1999,93,3,1,14900000,1,38,0,1,00 008,160215.0538,11.98427228,4.532599493,1.579783597,2.070804348
1999,94,4,1,18900000,2,31,1,1,00 008,201063.8298,12.2113777,4.543294782,1.491361694,2.070804348
2000,84,3,1,29400000,3,25,1,1,00 008,350000,12.76568843,4.430816799,1.397940009,2.070804348
2000,99.55,4,1,23400000,3,30,1,1,00 008,235057.7599,12.36758655,4.600660031,1.477121255,2.070804348
2000,89,3,1,24500000,4,38,0,1,00 008,275280.8989,12.52554731,4.48863637,1.579783597,2.070804348
2000,88,3,1,21200000,3,32,1,1,00 008,240909.0909,12.39217493,4.477336814,1.505149978,2.070804348
2000,94.11,4,2,17400000,3,25,1,1,00 008,184890.0223,12.12751645,4.544464311,1.397940009,2.070804348
2000,82,3,1,17900000,3,32,0,1,00 008,218292.6829,12.29359202,4.406719247,1.505149978,2.070804348
1999,83.54,1,1,23000000,2,50,0,1,00 010,275317.2133,12.52567921,4.425325559,1.698970004,2.30893489
1999,76.66,3,1,17600000,3,48,1,1,00 010,229585.1813,12.3440294,4.33938006,1.681241237,2.30893489
1999,241,5,2,40500000,1,80,1,1,00 010,168049.7925,12.0320156,5.484796933,1.903089987,2.30893489
1999,241,5,2,40500000,1,80,1,1,00 010,168049.7925,12.0320156,5.484796933,1.903089987,2.30893489
1999,75.6,1,1,12900000,3,100,0,1,00 010,170634.9206,12.04728159,4.325456283,2,2.30893489
1999,71,3,1,16300000,3,25,1,0,00 010,229577.4648,12.34399579,4.262679877,1.397940009,2.30893489
2000,98.4,3,2,22600000,3,100,0,1,00 010,229674.7967,12.34441966,4.589040804,2,2.30893489
1999,112,4,2,30200000,5,0,1,1,00 010,269642.8571,12.50485361,4.718498871,0,2.31687254
1999,65.45,2,1,12400000,4,50,0,1,00 010,189457.6012,12.15192054,4.181286492,1.698970004,2.31687254
1999,86,3,2,20200000,3,25,1,1,00 010,234883.7209,12.36684587,4.454347296,1.397940009,2.31687254
1999,109,4,2,19000000,1,29,1,1,00 010,174311.9266,12.06860165,4.691347882,1.462397998,2.31687254
1999,70,3,1,17500000,3,20,1,1,00 010,250000,12.4292162,4.248495242,1.301029996,2.31687254
1999,83.75,3,2,21100000,3,25,1,1,00 010,251940.2985,12.43694743,4.427836171,1.397940009,2.31687254
1999,94.6,4,2,17900000,3,23,1,1,00 010,189217.759,12.15065379,4.549657476,1.361727836,2.31687254
1999,82.45,2,1,16100000,2,23,1,0,00 010,195269.8605,12.18213778,4.412192049,1.361727836,2.31687254
1999,80.38,4,1,19700000,1,100,1,1,00 010,245085.8422,12.4093638,4.386765389,2,2.31687254
1999,82.45,2,1,16100000,2,23,1,0,00 010,195269.8605,12.18213778,4.412192049,1.361727836,2.31687254
2000,106,4,2,30500000,3,15,1,1,00 010,287735.8491,12.56979815,4.663439094,1.176091259,2.31687254
2000,77.98,3,1,15600000,3,40,1,1,00 010,200051.2952,12.20632909,4.356452384,1.602059991,2.31687254
2000,81,3,1,23300000,3,30,1,0,00 010,287654.321,12.56951476,4.394449155,1.477121255,2.31687254
2000,109.2,3,2,32700000,4,70,0,1,00 010,299450.5495,12.60970457,4.693181063,1.84509804,2.31687254
2000,87,3,2,24400000,3,20,1,1,00 010,280459.7701,12.54418557,4.465908119,1.301029996,2.31687254
2000,65.7,3,1,15900000,3,30,1,1,00 010,242009.1324,12.39673074,4.185098925,1.477121255,2.31687254
2000,91.79,2,2,21600000,4,20,1,1,00 010,235319.7516,12.36870051,4.519503359,1.301029996,2.31687254
2000,92,3,1,27600000,3,27,1,1,00 010,300000,12.61153775,4.521788577,1.431363764,2.31687254
2000,80,3,1,22700000,3,26,1,1,00 010,283750,12.55584885,4.382026635,1.414973348,2.31687254
2000,69.72,3,1,16700000,3,100,1,0,00 010,239529.5468,12.38643206,4.244487221,2,2.31687254
2000,110.58,2,2,43400000,4,0,1,1,00 010,392476.0354,12.88023076,4.705739241,0,2.31687254
2000,78.71,2,2,28300000,4,3,1,1,00 010,359547.7068,12.79260215,4.365770212,0.477121255,2.31687254
2000,85,3,1,24400000,5,20,1,1,00 010,287058.8235,12.56744243,4.442651256,1.301029996,2.31687254
1999,65,3,1,12400000,3,20,1,1,00 010,190769.2308,12.15881976,4.17438727,1.301029996,2.340959294
1999,101.45,3,1,18300000,3,26,0,1,00 010,180384.4258,12.10284555,4.619566066,1.414973348,2.340959294
1999,86.2,3,2,17300000,3,25,1,1,00 010,200696.0557,12.20954688,4.456670178,1.397940009,2.340959294
1999,94.5,4,2,23000000,4,28,0,1,00 010,243386.2434,12.40240494,4.548599834,1.447158031,2.340959294
1999,82,3,1,17300000,2,30,0,1,00 010,210975.6098,12.25949781,4.406719247,1.477121255,2.340959294
1999,45,1,1,8550000,5,35,0,1,00 010,190000,12.15477935,3.80666249,1.544068044,2.340959294
1999,78.69,3,1,15700000,3,32,0,1,00 010,199517.0924,12.20365519,4.365516083,1.505149978,2.340959294
2000,63,3,1,18800000,3,35,0,1,00 010,298412.6984,12.6062327,4.143134726,1.544068044,2.340959294
1999,64,2,1,11500000,1,98,1,0,00 011,179687.5,12.09897451,4.158883083,1.991226076,2.371597964
1999,110,3,2,21500000,2,27,1,1,00 011,195454.5455,12.18308313,4.700480366,1.431363764,2.399739027
1999,86.03,2,1,25400000,5,0,1,1,00 011,295245.8445,12.59556366,4.454696073,0,2.399739027
1999,112,5,2,23500000,3,30,1,1,00 011,209821.4286,12.25401211,4.718498871,1.477121255,2.399739027
1999,92,2,1,26300000,3,31,1,0,00 011,285869.5652,12.56329092,4.521788577,1.491361694,2.399739027
1999,109.59,4,2,20800000,2,20,1,0,00 011,189798.3393,12.15371742,4.696746129,1.301029996,2.399739027
1999,70,3,1,16100000,3,25,1,0,00 011,230000,12.34583459,4.248495242,1.397940009,2.399739027
1999,111,3,1,26000000,3,29,1,1,00 011,234234.2342,12.36407689,4.709530201,1.462397998,2.399739027
1999,80.22,4,1,17200000,1,33,1,0,00 011,214410.3715,12.27564708,4.38477286,1.51851394,2.399739027
1999,126.6,4,2,32800000,2,23,1,1,00 011,259083.7283,12.46490656,4.84103251,1.361727836,2.399739027
1999,62,2,1,12100000,2,50,0,1,00 011,195161.2903,12.18158163,4.127134385,1.698970004,2.399739027
1999,89.3,4,2,17500000,3,37,1,1,00 011,195968.645,12.18570995,4.492001488,1.568201724,2.399739027
1999,120,4,2,27400000,2,18,1,0,00 011,228333.3333,12.33856183,4.787491743,1.255272505,2.399739027
1999,62,2,1,15900000,4,50,0,1,00 011,256451.6129,12.45469528,4.127134385,1.698970004,2.399739027
1999,101.27,3,2,27300000,5,0,1,1,00 011,269576.38,12.50460704,4.617790217,0,2.399739027
2000,65.19,3,1,15300000,3,70,0,0,00 011,234698.5734,12.3660573,4.177306083,1.84509804,2.399739027
2000,94.44,4,1,24600000,3,50,1,0,00 011,260482.8463,12.47029229,4.547964712,1.698970004,2.399739027
2000,105.38,4,1,33200000,4,28,1,1,00 011,315050.2942,12.66048757,4.657572865,1.447158031,2.399739027
2000,90.5,4,2,28500000,4,24,1,0,00 011,314917.1271,12.66006479,4.505349851,1.380211242,2.399739027
2000,110.1,4,2,26500000,3,33,1,1,00 011,240690.2816,12.39126625,4.701389044,1.51851394,2.399739027
1999,62,1,1,12500000,3,35,0,1,00 011,201612.9032,12.21410482,4.127134385,1.544068044,2.414144357
1999,113.1,4,2,24300000,2,28,1,1,00 011,214854.1114,12.27771453,4.728272383,1.447158031,2.414144357
1999,46.56,2,1,9218880,3,60,0,0,00 011,198000,12.19602231,3.840741803,1.77815125,2.414144357
2000,58.23,2,1,15700000,3,30,0,1,00 011,269620.4705,12.50477058,4.064400686,1.477121255,2.414144357
2000,68,2,1,14500000,3,30,0,1,00 011,213235.2941,12.2701515,4.219507705,1.477121255,2.414144357
2000,148.81,4,2,43200000,4,8,1,1,00 011,290303.071,12.57868073,5.002670324,0.903089987,2.414144357
1999,112,4,2,31900000,2,30,1,1,00 011,284821.4286,12.5596177,4.718498871,1.477121255,2.418517528
1999,130.1,4,2,32000000,2,20,1,1,00 011,245964.6426,12.41294308,4.868303386,1.301029996,2.418517528
1999,91,3,1,27000000,3,25,1,1,00 011,296703.2967,12.60048792,4.510859507,1.397940009,2.418517528
1999,132,5,2,30100000,2,22,1,1,00 011,228030.303,12.33723381,4.882801923,1.342422681,2.418517528
1999,80,3,2,18600000,2,31,1,0,00 011,232500,12.3566455,4.382026635,1.491361694,2.418517528
1999,105.5,3,2,28100000,4,24,1,1,00 011,266350.7109,12.49256918,4.658710953,1.380211242,2.418517528
1999,87,3,2,21800000,3,24,1,1,00 011,250574.7126,12.43151241,4.465908119,1.380211242,2.418517528
1999,79.9,2,2,22400000,3,22,1,1,00 011,280350.438,12.54379566,4.380775853,1.342422681,2.418517528
1999,101,4,2,24200000,3,15,1,1,00 011,239603.9604,12.38674267,4.615120517,1.176091259,2.418517528
1999,91,2,2,25900000,3,35,1,1,00 011,284615.3846,12.55889402,4.510859507,1.544068044,2.418517528
1999,132.3,4,2,32000000,2,20,1,1,00 011,241874.5276,12.39617439,4.885072071,1.301029996,2.418517528
1999,107,4,2,28000000,3,29,1,1,00 011,261682.243,12.47488623,4.672828834,1.462397998,2.418517528
2000,72,3,1,20200000,3,35,1,1,00 011,280555.5556,12.54452704,4.276666119,1.544068044,2.418517528
2000,108,4,2,28600000,3,15,1,1,00 011,264814.8148,12.48678605,4.682131227,1.176091259,2.418517528
2000,105.45,2,2,38300000,4,22,1,1,00 011,363205.3106,12.80272355,4.658236907,1.342422681,2.418517528
2000,92,3,2,32200000,3,20,1,1,00 011,350000,12.76568843,4.521788577,1.301029996,2.418517528
2000,87.5,3,1,28300000,3,17,1,1,00 011,323428.5714,12.68673357,4.471638793,1.230448921,2.418517528
2000,132,5,2,42500000,4,24,1,1,00 011,321969.697,12.68221271,4.882801923,1.380211242,2.418517528
2000,65,2,1,19500000,3,35,1,1,00 011,300000,12.61153775,4.17438727,1.544068044,2.418517528
1999,135,3,1,42500000,3,30,1,1,00 011,314814.8148,12.65973986,4.905274778,1.477121255,2.418873679
1999,125,4,2,27000000,2,19,1,1,00 011,216000,12.28303369,4.828313737,1.278753601,2.418873679
1999,65,2,1,17600000,4,3,1,1,00 011,270769.2308,12.50902219,4.17438727,0.477121255,2.418873679
2000,90,4,2,23100000,3,27,1,0,00 011,256666.6667,12.45553351,4.49980967,1.431363764,2.418873679
2000,86,2,1,21500000,3,75,0,1,00 011,250000,12.4292162,4.454347296,1.875061263,2.418873679
2000,107.3,4,2,26500000,3,25,1,1,00 011,246971.109,12.41702664,4.67562865,1.397940009,2.418873679
2000,70.8,2,1,13300000,3,70,0,1,00 011,187853.1073,12.14341559,4.259859001,1.84509804,2.418873679
2000,156,5,3,43800000,3,80,1,1,00 011,280769.2308,12.54528837,5.049856007,1.903089987,2.418873679
2000,64.1,2,2,18300000,3,80,0,1,00 011,285491.4197,12.56196725,4.160444364,1.903089987,2.418873679
