any,distrito,superf,reforma,estado,edad,ascensor,extint,lprecio,lsuperf,ledad,ati,planta,calef,estudios,lestudios,d00,d01
1999,1,35,2,4,50,0,1,16,4,4,0,0,0,8,2,0,0
1999,1,48,4,3,60,0,1,16,4,4,0,2,0,8,2,0,0
1999,1,38,3,3,90,0,1,16,4,5,0,2,0,8,2,0,0
1999,1,46,4,1,90,0,1,16,4,5,0,3,0,8,2,0,0
1999,1,55,3,3,35,0,1,16,4,4,0,3,0,8,2,0,0
1999,1,38,3,3,90,0,1,16,4,5,0,2,0,8,2,0,0
1999,1,42,7,1,90,0,1,16,4,5,0,3,0,8,2,0,0
2000,1,38,3,4,60,0,1,16,4,4,0,0,0,8,2,1,0
2001,1,42,3,3,50,0,1,17,4,4,0,3,0,8,2,0,1
2001,1,38,4,2,107,0,1,16,4,5,0,4,1,8,2,0,1
2001,1,35,3,2,101,0,1,16,4,5,0,0,0,8,2,0,1
2001,1,42,2,3,70,0,1,16,4,4,0,5,1,8,2,0,1
2001,1,70,7,2,70,0,1,17,4,4,0,1,1,8,2,0,1
2001,1,39,4,2,126,0,1,16,4,5,0,2,1,8,2,0,1
2001,1,36,3,2,126,0,1,16,4,5,0,2,1,8,2,0,1
2001,1,36,7,1,101,0,1,16,4,5,0,0,1,8,2,0,1
2001,1,42,2,2,101,0,1,16,4,5,0,2,1,8,2,0,1
2001,1,66,4,3,28,1,1,17,4,3,0,6,1,8,2,0,1
1999,1,37,3,2,70,0,1,15,4,4,0,4,0,8,2,0,0
1999,1,34,3,3,50,0,1,16,4,4,0,4,0,8,2,0,0
1999,1,67,3,3,80,0,1,16,4,4,0,5,0,8,2,0,0
1999,1,77,4,3,40,1,1,16,4,4,0,3,0,8,2,0,0
1999,1,37,3,3,84,0,1,16,4,4,0,3,0,8,2,0,0
1999,1,30,3,4,40,0,1,16,3,4,0,6,0,8,2,0,0
1999,1,76,5,2,60,0,1,16,4,4,0,4,0,8,2,0,0
1999,1,43,3,3,65,0,1,16,4,4,0,0,0,8,2,0,0
2000,1,39,4,3,75,0,1,16,4,4,0,2,0,8,2,1,0
2000,1,40,2,4,86,0,1,16,4,4,0,0,0,8,2,1,0
2000,1,39,3,4,100,0,1,16,4,5,0,3,0,8,2,1,0
2000,1,78,3,4,35,0,1,17,4,4,1,20,0,8,2,1,0
2000,1,40,8,2,85,0,1,16,4,4,0,3,0,8,2,1,0
2001,1,43,4,3,61,0,1,16,4,4,0,5,1,8,2,0,1
2001,1,77,7,2,51,1,1,17,4,4,0,5,1,8,2,0,1
